link,text,category,product,year
https://www.paspaley.com/jewellery/pearl-earrings/starry-night-earrings-white-gold,Starry Night Earrings - White Gold,earrings,starry-night-earrings-white-gold,2021
https://www.paspaley.com/jewellery/pearl-earrings/shepherd-hook-earrings-circle-white-gold,Shepherd Hook Earrings Circle - White Gold,earrings,shepherd-hook-earrings-circle-white-gold,2021
https://www.paspaley.com/jewellery/pearl-earrings/shepherd-hook-earrings-circle-yellow-gold,Shepherd Hook Earrings Circle - Yellow Gold,earrings,shepherd-hook-earrings-circle-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-earrings/shepherd-hook-earrings-oval-white-gold,Shepherd Hook Earrings Oval - White Gold,earrings,shepherd-hook-earrings-oval-white-gold,2021
https://www.paspaley.com/jewellery/pearl-earrings/shepherd-hook-earrings-oval-yellow-gold,Shepherd Hook Earrings Oval - Yellow Gold,earrings,shepherd-hook-earrings-oval-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-earrings/diamond-shepherd-hook-earrings-13mm-round-yellow-gold,Diamond Shepherd Hook Earrings 13mm Round - Yellow Gold,earrings,diamond-shepherd-hook-earrings-13mm-round-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-earrings/keshi-pearl-studs-7mm,Keshi Pearl Studs - 7mm,earrings,keshi-pearl-studs-7mm,2021
https://www.paspaley.com/jewellery/pearl-earrings/keshi-pearl-studs-9mm,Keshi Pearl Studs - 9mm,earrings,keshi-pearl-studs-9mm,2021
https://www.paspaley.com/jewellery/pearl-earrings/round-pearl-studs-9mm,Round Pearl Studs - 9mm,earrings,round-pearl-studs-9mm,2021
https://www.paspaley.com/jewellery/pearl-earrings/button-pearl-studs-11mm,Button Pearl Studs - 11mm,earrings,button-pearl-studs-11mm,2021
https://www.paspaley.com/jewellery/pearl-earrings/monsoon-earring-enhancer-yellow-gold,Monsoon Earring Enhancer - Yellow Gold,earrings,monsoon-earring-enhancer-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-earrings/monsoon-earring-enhancer-white-gold,Monsoon Earring Enhancer - White Gold,earrings,monsoon-earring-enhancer-white-gold,2021
